HOG	OG	Gene_Tree	carinata.protein	galeata.protein	magna.protein	pulex.euro.protein	pulex.nam.protein	pulicaria.protein	sinensis.protein
N0.HOG0000178	OG0000011	n17		CAH0105845.1		Daphnia12823-RB, Daphnia00319-RA	XP_046457032.1, XP_046459972.1, XP_046451547.1	XP_046647046.1, XP_046647047.1, XP_046642899.1, XP_046646413.1, XP_046638441.1	
N0.HOG0000179	OG0000011	n30			XP_032783012.2				KAI9559248.1
N0.HOG0000180	OG0000011	n32	XP_057368363.1	CAH0109046.1	XP_032783261.2	Daphnia00445-RA	XP_046456769.1	XP_046645651.1	KAI9559125.1
N0.HOG0000181	OG0000011	n39	XP_057369456.1	CAH0113554.1	XP_045028488.1			XP_046646419.1	KAI9558888.1
N0.HOG0000182	OG0000011	n43	XP_057368359.1	CAH0109040.1	XP_032783252.2	Daphnia00437-RA	XP_046456754.1	XP_046645663.1	KAI9559132.1
N0.HOG0000183	OG0000011	n50		CAH0113532.1, CAH0101330.1, CAH0101331.1		Daphnia00723-RA, Daphnia00728-RA		XP_046637870.1	
N0.HOG0000184	OG0000011	n56	XP_057369653.1		XP_032782721.2				KAI9559272.1
N0.HOG0000185	OG0000011	n60	XP_057368708.1				XP_046456944.1	XP_046637898.1	KAI9559083.1, KAI9558995.1, KAI9559073.1
N0.HOG0000186	OG0000011	n66	XP_057367496.1	CAH0101076.1	XP_032782695.2		XP_046459150.1	XP_046637867.1	KAI9559290.1
N0.HOG0000187	OG0000011	n71	XP_057372203.1	CAH0101345.1, CAH0099127.1, CAH0101066.1		Daphnia00694-RA, Daphnia00637-RA, Daphnia00729-RA	XP_046459092.1, XP_046459151.1, XP_046459152.1	XP_046637921.1	
N0.HOG0000188	OG0000012	n1	XP_057380332.1, XP_057380331.1, XP_057380330.1, XP_057373173.1, XP_057380333.1, XP_057373174.1, XP_057373164.1	CAH0106771.1, CAH0106738.1, CAH0106811.1, CAH0106812.1	XP_045028711.1, XP_045027717.1, XP_045027716.1, XP_032782270.2	Daphnia00972-RA, Daphnia00996-RA, Daphnia00995-RA	XP_046457679.1, XP_046457675.1	XP_046643360.1, XP_046643361.1, XP_046643234.1, XP_046648220.1, XP_046643205.1	KAI9557814.1
N0.HOG0000189	OG0000012	n26	XP_057373140.1, XP_057373136.1, XP_057373137.1, XP_057373141.1, XP_057373139.1, XP_057373138.1, XP_057373313.1, XP_057373255.1, XP_057377879.1, XP_057377882.1, XP_057377883.1, XP_057377885.1, XP_057377886.1, XP_057377887.1, XP_057377888.1, XP_057377889.1, XP_057377884.1, XP_057377880.1, XP_057377850.1, XP_057373318.1, XP_057377858.1, XP_057373311.1, XP_057373246.1, XP_057373309.1, XP_057377857.1, XP_057373312.1	CAH0106736.1, CAH0106782.1, CAH0106739.1, CAH0109196.1, CAH0106737.1, CAH0105442.1	XP_045028704.1, XP_045028703.1, XP_045028698.1, XP_045028699.1, XP_045027624.1, XP_045028591.1, XP_045028697.1	Daphnia01244-RA, Daphnia00974-RD	XP_046457768.1, XP_046459662.1, XP_046458647.1, XP_046458648.1	XP_046643227.1, XP_046643202.1, XP_046643206.1, XP_046644473.1, XP_046647718.1	KAI9557826.1, KAI9557827.1
N0.HOG0000190	OG0000013	n3		CAH0107427.1, CAH0104517.1, CAH0101890.1, CAH0110854.1, CAH0101921.1				XP_046642679.1, XP_046642697.1	KAI9553108.1
N0.HOG0000191	OG0000013	n10	XP_057381624.1, XP_057381131.1		XP_045036002.1, XP_032795076.2	Daphnia06964-RA	XP_046455591.1, XP_046458067.1, XP_046458071.1, XP_046455599.1, XP_046455600.1, XP_046455593.1, XP_046455594.1, XP_046455589.1, XP_046455590.1	XP_046654703.1, XP_046647235.1, XP_046647234.1, XP_046647236.1, XP_046647237.1, XP_046647738.1, XP_046657107.1, XP_046657055.1, XP_046656968.1, XP_046656891.1	KAI9552951.1
N0.HOG0000192	OG0000013	n34	XP_057381148.1, XP_057381142.1		XP_032795090.1, XP_045036012.1, XP_045036014.1, XP_032795086.1, XP_045023044.1, XP_032795074.2, XP_045036010.1, XP_032795077.2				KAI9552952.1, KAI9552946.1, KAI9552947.1
N0.HOG0000193	OG0000013	n46	XP_057372218.1, XP_057372214.1, XP_057365428.1, XP_057365430.1, XP_057365320.1, XP_057372206.1, XP_057372216.1	CAH0099285.1, CAH0099286.1, CAH0113655.1	XP_032794965.2	Daphnia06966-RA, Daphnia06965-RA	XP_046453956.1, XP_046453945.1, XP_046454345.1, XP_046454735.1, XP_046453960.1, XP_046454048.1, XP_046455372.1	XP_046657045.1, XP_046657037.1, XP_046656983.1, XP_046654718.1, XP_046656904.1, XP_046657025.1, XP_046657053.1	KAI9559708.1, KAI9559828.1, KAI9559829.1
N0.HOG0000194	OG0000014	n3		CAH0107293.1	XP_045036842.1				
N0.HOG0000195	OG0000014	n6					XP_046439357.1	XP_046640236.1	KAI9562463.1
N0.HOG0000196	OG0000014	n8			XP_045033792.1			XP_046631615.1	KAI9552670.1
N0.HOG0000197	OG0000014	n12		CAH0104639.1	XP_045026805.1				KAI9565167.1, KAI9554941.1, KAI9550901.1, KAI9557328.1, KAI9550772.1, KAI9562535.1
N0.HOG0000198	OG0000014	n19		CAH0099949.1, CAH0112265.1					KAI9565203.1
N0.HOG0000199	OG0000014	n22		CAH0109665.1, CAH0103369.1, CAH0110834.1	XP_045026766.1, XP_045030406.1			XP_046647709.1	KAI9554982.1
N0.HOG0000200	OG0000014	n31	XP_057374370.1		XP_045036487.1				KAI9554908.1
N0.HOG0000201	OG0000014	n35	XP_057369927.1, XP_057381584.1, XP_057365011.1, XP_057378835.1, XP_057365009.1, XP_057372198.1	CAH0105088.1	XP_045034660.1, XP_045031037.1				KAI9551059.1, KAI9555045.1, KAI9559489.1, KAI9565076.1
N0.HOG0000202	OG0000014	n47	XP_057365008.1	CAH0109968.1	XP_045023108.1, XP_045023109.1, XP_045023701.1				
N0.HOG0000203	OG0000014	n51			XP_032780309.2				KAI9565130.1
N0.HOG0000204	OG0000014	n53		CAH0102764.1, CAH0098857.1	XP_045031062.1, XP_045022986.1				
N0.HOG0000205	OG0000014	n59		CAH0099500.1, CAH0105734.1, CAH0111066.1					KAI9550666.1
N0.HOG0000206	OG0000014	n62		CAH0101769.1					KAI9559512.1
N0.HOG0000207	OG0000014	n63							KAI9555020.1, KAI9552222.1
N0.HOG0000208	OG0000014	n64			XP_045025187.1			XP_046637014.1	KAI9551258.1, KAI9554940.1, KAI9555049.1, KAI9560554.1, KAI9555870.1, KAI9550365.1, KAI9562409.1, KAI9552198.1
N0.HOG0000209	OG0000015	n2	XP_057367046.1		XP_045028572.1, XP_045027831.1, XP_045029832.1				KAI9557327.1
N0.HOG0000210	OG0000015	n9		CAH0101564.1, CAH0111065.1, CAH0109852.1, CAH0098868.1					
N0.HOG0000211	OG0000015	n15		CAH0108653.1, CAH0099246.1, CAH0109617.1, CAH0108475.1, CAH0100554.1, CAH0101615.1, CAH0108242.1, CAH0112720.1, CAH0102733.1	XP_045026698.1				KAI9553779.1
N0.HOG0000212	OG0000015	n25		CAH0105519.1					KAI9552663.1
N0.HOG0000213	OG0000015	n26		CAH0103730.1, CAH0110348.1					
N0.HOG0000214	OG0000015	n27		CAH0105189.1, CAH0102734.1, CAH0112713.1, CAH0112721.1	XP_045025199.1				KAI9559471.1, KAI9559453.1
N0.HOG0000215	OG0000015	n33		CAH0111064.1, CAH0103250.1, CAH0105457.1, CAH0110354.1	XP_045029604.1				KAI9553701.1
N0.HOG0000216	OG0000015	n40		CAH0101969.1, CAH0104778.1					
N0.HOG0000217	OG0000015	n42		CAH0101103.1, CAH0103241.1					
N0.HOG0000218	OG0000015	n44		CAH0105188.1	XP_045023248.1, XP_045027933.1, XP_045032199.1, XP_045022880.1, XP_045022876.1, XP_045029104.1				
N0.HOG0000219	OG0000015	n50		CAH0105839.1	XP_045023504.1, XP_032782661.1, XP_045025198.1			XP_046630609.1	
N0.HOG0000220	OG0000015	n54	XP_057377374.1	CAH0106515.1, CAH0112335.1, CAH0108014.1, CAH0099240.1, CAH0102037.1, CAH0103934.1, CAH0111280.1	XP_032778918.1, XP_045036870.1, XP_045026687.1, XP_045024966.1, XP_045022816.1				KAI9565156.1, KAI9554890.1, KAI9565155.1, KAI9553778.1, KAI9552255.1
N0.HOG0000221	OG0000016	n0	XP_057371753.1, XP_057380671.1, XP_057380643.1, XP_057376193.1, XP_057376200.1, XP_057373120.1, XP_057369646.1, XP_057366743.1, XP_057367043.1, XP_057367049.1, XP_057377477.1, XP_057378540.1, XP_057376197.1, XP_057376025.1, XP_057377897.1, XP_057371754.1, XP_057369624.1, XP_057369631.1, XP_057381577.1, XP_057380666.1, XP_057367080.1, XP_057367014.1, XP_057376523.1, XP_057377383.1, XP_057367015.1, XP_057380674.1, XP_057380928.1, XP_057377898.1, XP_057376198.1, XP_057375011.1, XP_057376030.1, XP_057369625.1, XP_057367051.1, XP_057376222.1, XP_057366727.1, XP_057369647.1, XP_057380929.1, XP_057366733.1, XP_057366732.1, XP_057376020.1, XP_057380937.1, XP_057381792.1, XP_057376227.1, XP_057368285.1, XP_057367016.1, XP_057380675.1, XP_057373118.1, XP_057366128.1, XP_057369523.1, XP_057368278.1, XP_057366140.1, XP_057377478.1, XP_057366139.1, XP_057366739.1, XP_057366742.1, XP_057367086.1, XP_057377951.1, XP_057374989.1, XP_057371747.1, XP_057367502.1, XP_057368280.1, XP_057368281.1, XP_057373119.1, XP_057367008.1		XP_045032068.1, XP_032790461.2, XP_045032624.1, XP_045027118.1, XP_045031518.1				
N0.HOG0000222	OG0000017	n1	XP_057365455.1	CAH0109211.1, CAH0109179.1, CAH0103843.1, CAH0103845.1	XP_045034758.1, XP_045034774.1, XP_045035092.1		XP_046449172.1, XP_046449165.1	XP_046647724.1, XP_046647716.1	KAI9559660.1
N0.HOG0000223	OG0000017	n14		CAH0102974.1, CAH0101807.1, CAH0102975.1, CAH0113367.1, CAH0104494.1, CAH0102967.1, CAH0101837.1, CAH0113368.1, CAH0112104.1, CAH0101879.1, CAH0101876.1, CAH0101878.1, CAH0101875.1, CAH0100778.1, CAH0098737.1			XP_046448051.1, XP_046449181.1, XP_046448176.1, XP_046448145.1	XP_046640943.1, XP_046640941.1, XP_046640944.1, XP_046640942.1, XP_046642705.1, XP_046640775.1, XP_046640851.1	
N0.HOG0000224	OG0000017	n40	XP_057376733.1	CAH0101816.1, CAH0101811.1, CAH0101813.1	XP_032789947.2		XP_046448237.1, XP_046448236.1, XP_046448240.1, XP_046449206.1	XP_046641006.1, XP_046641150.1, XP_046641155.1, XP_046641154.1, XP_046641151.1, XP_046641152.1, XP_046641153.1	KAI9563542.1
N0.HOG0000225	OG0000017	n56		CAH0101819.1, CAH0101815.1, CAH0101820.1, CAH0101812.1, CAH0101818.1	XP_045031885.1		XP_046449208.1	XP_046640816.1, XP_046642699.1	
N0.HOG0000226	OG0000018	n2	XP_057380652.1		XP_032798504.1	Daphnia01784-RA	XP_046451320.1, XP_046452668.1	XP_046632225.1	
N0.HOG0000227	OG0000018	n12		CAH0103441.1, CAH0107060.1, CAH0107061.1			XP_046452702.1, XP_046457567.1, XP_046450974.1, XP_046456029.1, XP_046457514.1, XP_046437874.1, XP_046437871.1, XP_046454787.1	XP_046639162.1, XP_046639465.1, XP_046653948.1	KAI9562941.1
N0.HOG0000228	OG0000018	n26	XP_057367723.1, XP_057367724.1	CAH0113002.1	XP_032798077.2, XP_032798079.2				KAI9559232.1, KAI9562738.1
N0.HOG0000229	OG0000018	n32		CAH0103425.1, CAH0103431.1	XP_032798073.1, XP_045031977.1			XP_046640976.1	KAI9559233.1
N0.HOG0000230	OG0000018	n37					XP_046451317.1	XP_046642393.1	
N0.HOG0000231	OG0000018	n38	XP_057380106.1, XP_057368446.1, XP_057368333.1, XP_057369406.1, XP_057381573.1, XP_057369407.1, XP_057381559.1	CAH0111098.1, CAH0103440.1	XP_032784072.2, XP_045028045.1		XP_046456192.1	XP_046638580.1	KAI9559240.1, KAI9559359.1, KAI9559361.1
N0.HOG0000232	OG0000018	n54	XP_057380663.1	CAH0100134.1			XP_046452670.1	XP_046644637.1	
N0.HOG0000233	OG0000018	n57	XP_057367775.1	CAH0101592.1	XP_032788731.2, XP_045032311.1	Daphnia04951-RA	XP_046452622.1	XP_046637706.1	KAI9562575.1
N0.HOG0000234	OG0000019	n1	XP_057370185.1	CAH0106170.1	XP_032779506.2	Daphnia12050-RA	XP_046445903.1, XP_046445899.1	XP_046636021.1, XP_046635959.1	KAI9565534.1
N0.HOG0000235	OG0000019	n11					XP_046445908.1	XP_046636055.1	KAI9565535.1
N0.HOG0000236	OG0000019	n17	XP_057370304.1	CAH0107629.1	XP_032779540.2				KAI9565538.1
N0.HOG0000237	OG0000019	n20		CAH0107630.1	XP_032779533.2				KAI9565539.1
N0.HOG0000238	OG0000019	n22	XP_057370253.1	CAH0107628.1			XP_046447375.1	XP_046635190.1	
N0.HOG0000239	OG0000019	n25		CAH0107626.1			XP_046447377.1	XP_046635228.1	
N0.HOG0000240	OG0000019	n27	XP_057370241.1	CAH0106171.1, CAH0107613.1	XP_032779507.1	Daphnia12053-RA	XP_046445905.1, XP_046446600.1, XP_046446603.1, XP_046446608.1, XP_046446597.1, XP_046446607.1, XP_046446606.1, XP_046446601.1, XP_046446604.1, XP_046446609.1, XP_046446599.1, XP_046446598.1, XP_046446611.1, XP_046446605.1, XP_046446610.1, XP_046446602.1	XP_046636054.1, XP_046635196.1, XP_046635199.1, XP_046635198.1, XP_046635193.1, XP_046635195.1, XP_046635194.1, XP_046635192.1, XP_046635197.1, XP_046635200.1	KAI9565533.1
N0.HOG0000241	OG0000019	n58		CAH0106169.1		Daphnia12051-RA, Daphnia12282-RA, Daphnia12284-RA, Daphnia12052-RA	XP_046445897.1	XP_046635941.1	
N0.HOG0000242	OG0000020	n0	XP_057366276.1, XP_057365835.1, XP_057365834.1, XP_057364863.1, XP_057378636.1, XP_057378633.1, XP_057378635.1, XP_057378637.1, XP_057378634.1, XP_057371669.1, XP_057371671.1, XP_057371675.1, XP_057371678.1, XP_057371679.1, XP_057371677.1, XP_057371674.1, XP_057371676.1, XP_057371672.1, XP_057371670.1, XP_057373445.1, XP_057376507.1, XP_057376508.1, XP_057376509.1, XP_057376506.1, XP_057375069.1, XP_057364865.1, XP_057364862.1, XP_057364864.1, XP_057372197.1, XP_057370619.1, XP_057370832.1, XP_057370748.1, XP_057371236.1, XP_057365526.1, XP_057370974.1, XP_057373051.1, XP_057379499.1, XP_057373888.1, XP_057373889.1, XP_057377122.1, XP_057378332.1, XP_057370541.1, XP_057375748.1, XP_057370753.1, XP_057370683.1, XP_057366438.1, XP_057378163.1, XP_057373053.1, XP_057367933.1, XP_057367934.1, XP_057377441.1, XP_057376447.1, XP_057366926.1, XP_057366925.1, XP_057373464.1, XP_057376228.1, XP_057373887.1, XP_057378568.1, XP_057381503.1, XP_057381500.1, XP_057381502.1, XP_057376621.1, XP_057381501.1, XP_057381499.1						
N0.HOG0000243	OG0000021	n1	XP_057368470.1	CAH0104226.1	XP_032783940.2	Daphnia00070-RB	XP_046459300.1	XP_046645678.1	KAI9558717.1
N0.HOG0000244	OG0000021	n9	XP_057368471.1	CAH0111405.1	XP_032783939.2	Daphnia00072-RA	XP_046459303.1	XP_046645688.1	KAI9558719.1
N0.HOG0000245	OG0000021	n15	XP_057368473.1	CAH0104229.1	XP_045028266.1	Daphnia00071-RA	XP_046459304.1	XP_046645707.1	KAI9558718.1
N0.HOG0000246	OG0000021	n22	XP_057368474.1		XP_032783714.2	Daphnia00066-RA		XP_046645691.1	KAI9558715.1
N0.HOG0000247	OG0000021	n27	XP_057380012.1	CAH0102200.1	XP_045027937.1, XP_032784335.2	Daphnia01339-RA	XP_046458079.1	XP_046646813.1	KAI9558265.1
N0.HOG0000248	OG0000021	n36				Daphnia03989-RA, Daphnia03996-RA, Daphnia03997-RA			
N0.HOG0000249	OG0000021	n39	XP_057380008.1	CAH0102198.1	XP_045027936.1	Daphnia01394-RA	XP_046459841.1, XP_046459842.1	XP_046646484.1	KAI9558263.1
N0.HOG0000250	OG0000021	n46	XP_057380007.1	CAH0102208.1	XP_032784327.2	Daphnia01334-RA			KAI9558272.1
N0.HOG0000251	OG0000021	n50	XP_057369454.1	CAH0113565.1, CAH0113566.1	XP_032783716.2, XP_032783715.2	Daphnia00011-RB, Daphnia00309-RA, Daphnia00308-RB	XP_046456440.1, XP_046456439.1	XP_046645723.1, XP_046645726.1, XP_046646420.1	KAI9558878.1
N0.HOG0000252	OG0000022	n3			XP_045031913.1		XP_046443814.1	XP_046632196.1	KAI9565114.1, KAI9554959.1, KAI9555035.1
N0.HOG0000253	OG0000022	n8			XP_032797495.2, XP_045030589.1, XP_045025503.1		XP_046452767.1		
N0.HOG0000254	OG0000022	n12		CAH0098469.1, CAH0111021.1, CAH0111022.1, CAH0102720.1					KAI9565053.1
N0.HOG0000255	OG0000022	n16	XP_057375147.1, XP_057381787.1, XP_057380347.1	CAH0100127.1	XP_045030433.1, XP_045023379.1, XP_045031685.1, XP_045030443.1				KAI9565138.1
N0.HOG0000256	OG0000022	n26		CAH0107953.1	XP_045036690.1, XP_045036714.1, XP_045022910.1, XP_045036695.1, XP_045036716.1, XP_045031637.1, XP_045036694.1, XP_032789680.2, XP_045035977.1, XP_045023186.1, XP_045035979.1, XP_045023871.1, XP_032793789.2, XP_045034624.1, XP_045023974.1, XP_045029055.1, XP_045031967.1, XP_045033918.1		XP_046450172.1, XP_046461177.1	XP_046650969.1, XP_046650963.1	KAI9552226.1
N0.HOG0000257	OG0000022	n49		CAH0108310.1, CAH0105192.1	XP_045036699.1				KAI9558407.1
N0.HOG0000258	OG0000022	n52	XP_057379552.1, XP_057377479.1, XP_057376188.1, XP_057380344.1, XP_057366949.1, XP_057376184.1	CAH0113273.1, CAH0113272.1			XP_046449275.1, XP_046446798.1		
N0.HOG0000259	OG0000023	n1		CAH0100446.1, CAH0108877.1	XP_045030430.1	Daphnia08989-RA			KAI9555015.1
N0.HOG0000260	OG0000023	n8		CAH0098509.1, CAH0104395.1	XP_045023564.1				KAI9559420.1, KAI9557302.1
N0.HOG0000261	OG0000023	n14		CAH0108494.1, CAH0103732.1, CAH0105801.1, CAH0102149.1					
N0.HOG0000262	OG0000023	n18		CAH0111799.1, CAH0101627.1, CAH0110703.1, CAH0111796.1, CAH0098886.1, CAH0113734.1, CAH0103487.1, CAH0101667.1, CAH0108878.1, CAH0100217.1, CAH0100577.1, CAH0111265.1, CAH0101565.1, CAH0108311.1, CAH0102215.1, CAH0111800.1, CAH0108879.1, CAH0098508.1, CAH0101133.1, CAH0106964.1, CAH0108662.1, CAH0100236.1, CAH0100445.1, CAH0107687.1, CAH0110337.1, CAH0110363.1, CAH0112580.1, CAH0098702.1, CAH0102522.1, CAH0110677.1, CAH0098596.1, CAH0099328.1	XP_032780260.2, XP_045022932.1	Daphnia02072-RA			KAI9549942.1
N0.HOG0000263	OG0000023	n53		CAH0098600.1, CAH0108850.1, CAH0106095.1, CAH0099781.1, CAH0109609.1, CAH0112715.1, CAH0113350.1	XP_045023952.1				KAI9560547.1
N0.HOG0000264	OG0000024	n1	XP_057381648.1	CAH0100977.1, CAH0112569.1, CAH0102122.1, CAH0109407.1, CAH0109873.1, CAH0112848.1, CAH0102090.1, CAH0113700.1	XP_032798304.2, XP_045036508.1, XP_045035390.1		XP_046439496.1	XP_046637980.1	KAI9553210.1, KAI9561503.1, KAI9561285.1, KAI9559399.1, KAI9557760.1, KAI9556436.1, KAI9557792.1, KAI9550630.1, KAI9557773.1, KAI9560745.1, KAI9550242.1, KAI9553232.1, KAI9553231.1, KAI9553128.1
N0.HOG0000265	OG0000024	n30			XP_045027701.1			XP_046637726.1	
N0.HOG0000266	OG0000024	n31	XP_057367110.1	CAH0106896.1, CAH0111986.1	XP_045027655.1, XP_045028026.1		XP_046458295.1, XP_046462359.1, XP_046462834.1, XP_046463072.1, XP_046462832.1, XP_046462833.1, XP_046457587.1, XP_046457501.1, XP_046457502.1	XP_046648411.1, XP_046654299.1, XP_046654296.1, XP_046656145.1, XP_046656143.1, XP_046654588.1, XP_046647751.1, XP_046648304.1	KAI9557856.1, KAI9550631.1
N0.HOG0000267	OG0000024	n54		CAH0106344.1, CAH0106343.1, CAH0106340.1, CAH0106342.1, CAH0106345.1			XP_046457049.1	XP_046645720.1	
N0.HOG0000268	OG0000025	n0				Daphnia02395-RA, Daphnia12779-RA, Daphnia00608-RA, Daphnia00382-RA, Daphnia00636-RA, Daphnia00388-RA, Daphnia00405-RA, Daphnia00121-RB, Daphnia00552-RA, Daphnia00629-RB, Daphnia11875-RA, Daphnia13778-RA, Daphnia00443-RA, Daphnia00179-RA, Daphnia00125-RA, Daphnia00106-RA, Daphnia00742-RA, Daphnia01690-RA, Daphnia02122-RA, Daphnia00631-RE, Daphnia00550-RA, Daphnia00614-RC, Daphnia00624-RA, Daphnia00444-RA	XP_046458231.1, XP_046457343.1, XP_046457345.1, XP_046457198.1, XP_046456651.1, XP_046456161.1, XP_046458966.1, XP_046459077.1, XP_046458887.1, XP_046456462.1, XP_046457350.1, XP_046459448.1, XP_046458979.1	XP_046638392.1, XP_046638325.1, XP_046646067.1, XP_046646052.1, XP_046646007.1, XP_046646024.1, XP_046638584.1, XP_046646044.1, XP_046646027.1, XP_046646041.1, XP_046646355.1, XP_046632880.1, XP_046638304.1, XP_046638665.1, XP_046638323.1, XP_046638312.1, XP_046638310.1, XP_046638306.1, XP_046638301.1, XP_046632882.1, XP_046632883.1, XP_046646492.1	KAI9561381.1
N0.HOG0000269	OG0000026	n2					XP_046451643.1, XP_046451641.1		
N0.HOG0000270	OG0000026	n12			XP_045023683.1, XP_045023713.1, XP_045023968.1, XP_045022920.1, XP_045025238.1, XP_032786355.2, XP_045023520.1, XP_045031512.1, XP_032784560.1, XP_045036466.1, XP_045023616.1				
N0.HOG0000271	OG0000026	n23		CAH0105737.1	XP_045032666.1, XP_045032658.1, XP_032786353.2				
N0.HOG0000272	OG0000026	n26		CAH0110739.1	XP_045024595.1, XP_032791625.2				
N0.HOG0000273	OG0000026	n29		CAH0106283.1, CAH0112591.1	XP_032799385.2				
N0.HOG0000274	OG0000026	n31		CAH0103733.1, CAH0106098.1, CAH0105425.1, CAH0106712.1	XP_032798650.2				KAI9550515.1
N0.HOG0000275	OG0000026	n36			XP_045023521.1, XP_045022921.1, XP_045036838.1, XP_045032081.1, XP_045023159.1, XP_045023969.1, XP_045023972.1, XP_045023817.1, XP_032785664.2, XP_045028555.1, XP_045027110.1				
N0.HOG0000276	OG0000026	n49		CAH0101017.1, CAH0099267.1	XP_032784568.2, XP_045036888.1, XP_045025158.1			XP_046640180.1	
N0.HOG0000277	OG0000026	n54		CAH0111795.1	XP_045030432.1		XP_046450166.1	XP_046640242.1	
N0.HOG0000278	OG0000026	n57		CAH0113061.1	XP_045024592.1				
N0.HOG0000279	OG0000027	n2	XP_057380128.1				XP_046454263.1		KAI9557184.1, KAI9553616.1
N0.HOG0000280	OG0000027	n5	XP_057381594.1					XP_046632244.1	
N0.HOG0000281	OG0000027	n6	XP_057366227.1, XP_057377896.1, XP_057380035.1, XP_057365245.1, XP_057364903.1, XP_057372269.1, XP_057372268.1, XP_057367141.1, XP_057379527.1, XP_057380315.1, XP_057367998.1, XP_057367146.1, XP_057367497.1, XP_057379972.1, XP_057381583.1, XP_057364773.1		XP_045032440.1, XP_032796458.2, XP_045032654.1, XP_045032740.1, XP_045024078.1, XP_045023629.1, XP_045032764.1, XP_045024082.1, XP_045028071.1, XP_045035107.1, XP_045033971.1, XP_032790596.2, XP_045033130.1, XP_045023632.1, XP_045032392.1, XP_045023226.1, XP_045032778.1, XP_032782958.2				KAI9563181.1, KAI9553579.1, KAI9562256.1, KAI9552775.1, KAI9563893.1, KAI9563904.1, KAI9559476.1, KAI9559450.1, KAI9553715.1, KAI9552213.1, KAI9552154.1, KAI9552211.1, KAI9563180.1, KAI9563158.1, KAI9563159.1, KAI9552636.1, KAI9563156.1
N0.HOG0000282	OG0000028	n0	XP_057365030.1, XP_057365029.1, XP_057378765.1, XP_057365031.1, XP_057365032.1, XP_057378931.1, XP_057365046.1, XP_057365059.1, XP_057380417.1, XP_057380873.1	CAH0098683.1, CAH0098684.1, CAH0098687.1, CAH0098686.1, CAH0098810.1, CAH0098809.1	XP_045031864.1, XP_045033258.1, XP_045033257.1, XP_045031861.1, XP_045033259.1, XP_045033260.1, XP_032791441.2, XP_032792243.2	Daphnia09009-RA	XP_046443886.1, XP_046437396.1, XP_046437410.1, XP_046437405.1, XP_046437406.1, XP_046437407.1, XP_046464389.1, XP_046437823.1, XP_046437404.1, XP_046437409.1	XP_046658018.1, XP_046650609.1, XP_046653304.1, XP_046652826.1, XP_046653303.1, XP_046652830.1, XP_046652834.1, XP_046652825.1, XP_046652832.1, XP_046652828.1, XP_046652827.1, XP_046652836.1, XP_046652829.1, XP_046652835.1, XP_046652831.1, XP_046652824.1	KAI9551273.1, KAI9551274.1, KAI9551255.1, KAI9552122.1, KAI9552486.1, KAI9552487.1
N0.HOG0000283	OG0000029	n0			XP_032777209.2	Daphnia01381-RA, Daphnia00582-RA, Daphnia00587-RA, Daphnia00588-RA, Daphnia00583-RB, Daphnia00581-RA, Daphnia00580-RA, Daphnia00585-RA, Daphnia00579-RA, Daphnia00586-RA, Daphnia00634-RA, Daphnia00584-RA, Daphnia00561-RA	XP_046459807.1, XP_046458907.1, XP_046458902.1, XP_046458905.1, XP_046458904.1, XP_046458912.1, XP_046458901.1, XP_046458898.1, XP_046458900.1, XP_046458914.1, XP_046458915.1, XP_046458895.1, XP_046458896.1, XP_046458945.1, XP_046458913.1, XP_046450938.1, XP_046450937.1, XP_046452483.1, XP_046458849.1	XP_046645039.1, XP_046648189.1, XP_046648191.1, XP_046638642.1, XP_046638004.1, XP_046638003.1, XP_046655321.1, XP_046655322.1, XP_046638010.1, XP_046638005.1, XP_046638012.1, XP_046638007.1, XP_046637987.1, XP_046637986.1, XP_046638413.1, XP_046638000.1, XP_046637999.1, XP_046637996.1, XP_046639327.1, XP_046639329.1, XP_046639326.1, XP_046639330.1, XP_046638660.1, XP_046638661.1	
N0.HOG0000284	OG0000030	n1		CAH0102906.1, CAH0101292.1, CAH0107663.1, CAH0099253.1, CAH0106920.1, CAH0104430.1	XP_045033760.1	Daphnia06838-RA, Daphnia06843-RA	XP_046460290.1	XP_046643699.1	KAI9550736.1
